venue,match_count,first_year,last_year,city,state,capacity,surface
M.C.G.,3156,1897,2025,Melbourne,VIC,100024,Grass
Princes Park,1277,1897,2005,Melbourne,VIC,24500,Grass
Docklands,1116,2000,2025,Melbourne,VIC,53359,Grass
Victoria Park,880,1897,1999,Melbourne,VIC,25000,Grass
Junction Oval,734,1897,1984,Melbourne,VIC,8000,Grass
Waverley Park,732,1970,1999,Melbourne,VIC,78000,Grass
Lake Oval,704,1897,1981,Melbourne,VIC,15000,Grass
Kardinia Park,677,1941,2025,Geelong,VIC,36000,Grass
Western Oval,665,1925,1997,Melbourne,VIC,20000,Grass
Windy Hill,629,1922,1991,Melbourne,VIC,20000,Grass
Brunswick St,612,1897,1966,Melbourne,VIC,25000,Grass
Subiaco,545,1987,2017,Perth,WA,43500,Grass
Punt Rd,544,1908,1964,Melbourne,VIC,20000,Grass
Arden St,529,1925,1985,Melbourne,VIC,3000,Grass
S.C.G.,474,1903,2025,Sydney,NSW,48000,Grass
Football Park,458,1991,2013,Adelaide,SA,51240,Grass
Glenferrie Oval,443,1925,1973,Melbourne,VIC,8000,Grass
Gabba,420,1981,2025,Brisbane,QLD,42000,Grass
Corio Oval,371,1897,1940,Geelong,VIC,20000,Grass
Adelaide Oval,289,2011,2025,Adelaide,SA,53583,Grass
Carrara,255,1987,2025,Gold Coast,QLD,25000,Grass
Moorabbin Oval,254,1965,1992,Melbourne,VIC,15000,Grass
East Melbourne,225,1897,1921,Melbourne,VIC,20000,Grass
Perth Stadium,157,2018,2025,Perth,WA,60000,Grass
Sydney Showground,110,2012,2025,Sydney,NSW,24000,Grass
W.A.C.A.,72,1987,2000,Perth,WA,20000,Grass
York Park,68,2001,2025,Launceston,TAS,20000,Grass
Stadium Australia,56,2002,2022,Sydney,NSW,83500,Grass
GMHBA Stadium,53,2011,2018,Geelong,VIC,36000,Grass
Manuka Oval,46,1998,2025,Canberra,ACT,13550,Grass
Marvel Stadium,43,2019,2019,Melbourne,VIC,53359,Grass
Bellerive Oval,42,2012,2025,Hobart,TAS,20000,Grass
Marrara Oval,30,2004,2025,Darwin,NT,12500,Grass
University of Tasmania Stadium,28,2011,2018,Launceston,TAS,20000,Grass
Optus Stadium,23,2018,2018,Perth,WA,60000,Grass
UNSW Canberra Oval,19,2011,2018,Canberra,ACT,13550,Grass
Cazaly's Stadium,14,2011,2022,Cairns,QLD,15000,Grass
Toorak Park,13,1942,1943,Melbourne,VIC,8000,Grass
Eureka Stadium,12,2019,2025,Ballarat,VIC,8000,Grass
Traeger Park,11,2014,2025,Alice Springs,NT,8500,Grass
Coburg Oval,9,1965,1965,Melbourne,VIC,10000,Grass
Yarraville Oval,7,1942,1942,Melbourne,VIC,8000,Grass
Norwood Oval,6,2023,2025,Adelaide,SA,10000,Grass
North Hobart,5,1952,1992,Hobart,TAS,10000,Grass
Wellington,3,2013,2015,Wellington,NZ,34500,Grass
Olympic Park,3,1932,1932,Melbourne,VIC,18500,Grass
Mars Stadium,3,2017,2018,Ballarat,VIC,8000,Grass
Adelaide Hills,3,2023,2024,Adelaide,SA,5000,Grass
Barossa Park,2,2025,2025,Adelaide,SA,2000,Grass
Adelaide Arena at Jiangwan Stadium,2,2017,2018,Shanghai,INTL,10000,Grass
Yallourn,1,1952,1952,Melbourne,VIC,5000,Grass
Riverway Stadium,1,2019,2019,Townsville,QLD,26000,Grass
Jiangwan Stadium,1,2019,2019,Shanghai,INTL,10000,Grass
Hands Oval,1,2025,2025,Bunbury,WA,4000,Grass
Euroa,1,1952,1952,Melbourne,VIC,5000,Grass
Bruce Stadium,1,1995,1995,Canberra,ACT,25000,Grass
Brisbane Exhibition,1,1952,1952,Brisbane,QLD,10000,Grass
Blacktown,1,2012,2012,Sydney,NSW,5000,Grass
Albury,1,1952,1952,Albury,NSW,15000,Grass
